N_inventaire,Rue,N_rue,Nom_site,Arrondissement,Ville,Latitude_x,Longitude_y,Support,Couleur,Taille,Date_prise_vue,Photographe,Date_construction,Architecte,Classement_MH,Généralité_architecture,Mot_cle1,Mot_cle2,Mot_cle3,Mot_cle4,Mot_cle5,Mot_cle6,Cote_base,Cote_classement,Date_inventaire
663,"ABOUKIR, RUE D'",5,ESCALIER,2,PARIS,48.86613,2.34204,TIRAGE PAPIER,COULEUR,13x8 cm,1997/04/14,"BOUTILLON, A.",XVIIIè,,INCONNU,PRIVÉE,ENSEIGNE,FERRONNERIE,CHANTIER,,,,,B420,2019/10/22
664,"ABOUKIR, RUE D'",17,IMMEUBLE,2,PARIS,48.86653,2.34307,TIRAGE PAPIER,COULEUR,8x13 cm,1997/05,"BOUTILLON, A.",XVIIIè,,NON,PRIVÉE,MASCARONS,MOULURE,DÉCORATION_INTÉRIEURE,,,,,B420,2019/10/22
665,"ABOUKIR, RUE D'",87,IMMEUBLE,2,PARIS,48.86813,2.34802,TIRAGE PAPIER,COULEUR,15x10 cm,1997/02/06,"LEFEVRE, PHILIPPE",,,NON,PRIVÉE,FAÇADE,FERRONNERIE,PORTE,DÉCORATION_EXTÉRIEURE,,,1997-02000-0000050,B420,2019/10/22
667,"TIQUETONNE, RUE",15,IMMEUBLE,2,PARIS,48.86458,2.34872,TIRAGE PAPIER,N&B,15x10 cm,2002/12,"BURET, COLETTE",XVIIè,,NON,PRIVÉE,FAÇADE,FERRONNERIE,PORTE,,,,,B421,2019/10/22
668,"VIVIENNE, RUE",7,BIBLIOTHÈQUE_NATIONALE,2,PARIS,48.86785,2.33941,TIRAGE PAPIER,COULEUR,15x10 cm,2000/09/05,INCONNU,XVIIè,,OUI,PRIVÉE,FAÇADE,SCULPTURE,DÉCORATION_EXTÉRIEURE,,,,,B421,2019/10/22
669,"SAINT-DENIS, RUE",226,HÔTEL_DE_SAINT_CHAUMOND,2,PARIS,48.86848,2.35216,TIRAGE PAPIER,COULEUR,10x15 cm,1997/02/06,"LEFEVRE, PHILIPPE",XVIIè,,OUI,HÔTEL_PARTICULIER,FAÇADE,FERRONNERIE,PORTE,BALCON,DÉCORATION_EXTÉRIEURE,,,B421,2019/10/22
670,"TIQUETONNE, RUE",15,IMMEUBLE,2,PARIS,48.86458,2.34872,TIRAGE PAPIER,COULEUR,10x15 cm,2002/12,"BURET, COLETTE",XVIIè,,NON,PRIVÉE,FAÇADE,FERRONNERIE,,,,,,B421,2019/10/22
671,"TRACY, RUE DE",6,IMMEUBLE,2,PARIS,48.86799,2.35309,TIRAGE PAPIER,COULEUR,14x6 cm,2005,INCONNU,XIXè,,NON,PRIVÉE,PORTE,DÉCORATION_EXTÉRIEURE,,,,,,B421,2019/10/22
672,"RAMBUTEAU, RUE",2,IMMEUBLE,3,PARIS,48.86018,2.35677,TIRAGE PAPIER,N&B,15x10 cm,,INCONNU,1838,,NON,PRIVÉE,FAÇADE,MOULURE,DÉCORATION_EXTÉRIEURE,CHIEN_ASSIS,,,,B421,2019/10/22
673,"RAMBUTEAU, RUE",2,IMMEUBLE,3,PARIS,48.86018,2.35677,TIRAGE PAPIER,N&B,15x10 cm,,INCONNU,1838,,NON,PRIVÉE,FAÇADE,MOULURE,DÉCORATION_EXTÉRIEURE,CHIEN_ASSIS,MANSARDE,,,B421,2019/10/22
674,"ÉTIENNE MARCEL, RUE",20,TOUR_JEAN_SANS_PEUR,2,PARIS,48.86421,2.34814,TIRAGE PAPIER,N&B,24x17 cm,1983,"LIOT, ROLAND",1409-1411,,OUI,HÔTEL_PARTICULIER,DÉCORATION_INTÉRIEURE,,,,,,1983-02000-0000270,B421,2019/10/22
675,"ÉTIENNE MARCEL, RUE",20,TOUR_JEAN_SANS_PEUR,2,PARIS,48.86421,2.34814,TIRAGE PAPIER,N&B,24x17 cm,1970,"LIOT, ROLAND",1409-1411,,OUI,MILITAIRE,MUR,TOUR,PORTE,,,,1970-02000-0000276,B421,2019/10/22
695,"BEAUREGARD, RUE",6,IMMEUBLE,2,PARIS,48.86917,2.34818,TIRAGE PAPIER,COULEUR,10x15 cm,1997/02/06,"LEFEVRE, PHILIPPE",XVIIIè,,NON,HÔTEL_PARTICULIER,BALCON,FERRONNERIE,DÉCORATION_EXTÉRIEURE,PORTE,,,1997-02000-0000061,B422,2019/10/23
696,"BEAUREGARD, RUE",32,IMMEUBLE,2,PARIS,48.86925,2.34963,TIRAGE PAPIER,COULEUR,15x10 cm,1995/01,"BOUTET, MARGUERITE",XIXè,,NON,COMMÉMORATIVE_VOTIVE_FUNÉRAIRE,FAÇADE,STATUE,,,,,1995-02000-0000062,B422,2019/10/23
697,"BEAUREGARD, RUE",60,RUE,2,PARIS,48.86954,2.35121,TIRAGE PAPIER,COULEUR,15x10 cm,1995/01,"BOUTET, MARGUERITE",,,NON,VOIRIES_ESPACES_LIBRES,VUE_ENSEMBLE,FAÇADE,,,,,1995-02000-0000063,B422,2019/10/23
698,"BEAUREGARD, RUE",,COUR,2,PARIS,48.86929,2.34969,TIRAGE PAPIER,COULEUR,15x10 cm,1995/01,"BOUTET, MARGUERITE",XVIIIè,,NON,PRIVÉE,COUR,FAÇADE,,,,,,B422,2019/10/23
699,"BEAUREGARD, RUE",6,IMMEUBLE,2,PARIS,48.86917,2.34818,TIRAGE PAPIER,COULEUR,15x10 cm,1997/02/06,"LEFEVRE, PHILIPPE",XVIIIè,,NON,PRIVÉE,PORTE,FAÇADE,,,,,,B422,2019/10/23
700,"BEAUREGARD, RUE",19bis,EGLISE_NOTRE_DAME_DE_BONNE_NOUVELLE,2,PARIS,48.86935,2.34975,TIRAGE PAPIER,COULEUR,15x10 cm,1995/01,"BOUTET, MARGUERITE",XVIIè,,OUI,COMMÉMORATIVE_VOTIVE_FUNÉRAIRE,CLOCHER,EGLISE,ARCHITECTURE,,,,,B422,2019/10/23
701,"BEAUREGARD, RUE",37,IMMEUBLE,2,PARIS,48.8696,2.3511,TIRAGE PAPIER,N&B,15x10 cm,,INCONNU,XVIIIè,,NON,PRIVÉE,FERRONNERIE,PORTE,,,,,,B422,2019/10/23
702,"BEAUREGARD, RUE",48,IMMEUBLE,2,PARIS,48.86937,2.35045,TIRAGE PAPIER,COULEUR,8x13 cm,1996/06,INCONNU,XIXè,,NON,PRIVÉE,FAÇADE,PORTE,MOULURE,,,,,B422,2019/10/23
703,"BEAUREGARD, RUE",44,IMMEUBLE,2,PARIS,48.86935,2.35031,TIRAGE PAPIER,COULEUR,15x10 cm,1995/01,"BOUTET, MARGUERITE",XVIIè,,NON,PRIVÉE,FAÇADE,,,,,,,B422,2019/10/23
704,"CHABANAIS, RUE",3,IMMEUBLE,2,PARIS,48.86714,2.33667,TIRAGE PAPIER,COULEUR,15x10 cm,1999,"BOUTET, MARGUERITE",XVIIIè,,NON,PRIVÉE,PORTE,FAÇADE,FERRONNERIE,,,,,B423,2019/10/23
705,"CHÉRUBINI, RUE",3,IMMEUBLE,2,PARIS,48.8678,2.33631,TIRAGE PAPIER,COULEUR,15x10 cm,1999,INCONNU,XVIIIè,,NON,PRIVÉE,PORTE,FAÇADE,FERRONNERIE,MOULURE,DÉCORATION_EXTÉRIEURE,,1999-02000-0000045,B424,2019/10/23
706,"MONTMARTRE, RUE",56,IMMEUBLE,2,PARIS,48.86543,2.34495,TIRAGE PAPIER,COULEUR,15x10 cm,1995/06,"BOUTET, MARGUERITE",XIXè,,NON,PRIVÉE,FAÇADE,PORTE,FERRONNERIE,,,,,B427,2019/10/20
707,"SAINT-MARC, RUE",2,IMMEUBLE,2,PARIS,48.87031,2.34243,TIRAGE PAPIER,COULEUR,15x10 cm,1998/06,PHILIPPE,XIXè,,NON,PRIVÉE,FAÇADE,BALCON,FERRONNERIE,MOULURE,,,,B427,2019/10/20
708,"LUNE, RUE DE LA",22,IMMEUBLE,2,PARIS,48.86983,2.3495,TIRAGE PAPIER,COULEUR,15x10 cm,1995/01,"BOUTET, MARGUERITE",XVIIè,,NON,PRIVÉE,CHANTIER,FAÇADE,FERRONNERIE,,,,,B427,2019/10/20
709,"VILLE NEUVE, RUE DE LA",13,IMMEUBLE,2,PARIS,48.86991,2.34856,TIRAGE PAPIER,COULEUR,15x10 cm,1995/01,"BOUTET, MARGUERITE",XIXè,,NON,PRIVÉE,FAÇADE,PLAQUE,,,,,,B427,2019/10/20
710,"NOTRE-DAME DE BONNE NOUVELLE, RUE",9,IMMEUBLE,2,PARIS,48.869908,2.349673,TIRAGE PAPIER,COULEUR,15x10 cm,1995/01,"BOUTET, MARGUERITE",XIXè,,NON,PRIVÉE,MOULURE,FAÇADE,COMMERCES,FENÊTRE,FERRONNERIE,,,B427,2019/10/20
711,"LUNE, RUE DE LA",22,IMMEUBLE,2,PARIS,48.86983,2.3495,TIRAGE PAPIER,COULEUR,15x10 cm,1995/01,"BOUTET, MARGUERITE",XVIIIè,,NON,PRIVÉE,CHANTIER,FAÇADE,FERRONNERIE,,,,,B427,2019/10/20
712,"LUNE, RUE DE LA",36,IMMEUBLE,2,PARIS,48.87007,2.34819,TIRAGE PAPIER,COULEUR,15x10 cm,1995/01,"BOUTET, MARGUERITE",XIXè,,NON,PRIVÉE,FAÇADE,COMMERCES,,,,,,B427,2019/10/20
713,"LUNE, RUE DE LA",24,IMMEUBLE,2,PARIS,48.86986,2.34933,TIRAGE PAPIER,COULEUR,15x10 cm,1995/01,"BOUTET, MARGUERITE",XVIIIè,,NON,PRIVÉE,CHANTIER,FAÇADE,FERRONNERIE,CHIEN_ASSIS,,,,B427,2019/10/20
714,"NOTRE-DAME DE RECOUVRANCE, RUE",18,IMMEUBLE,2,PARIS,48.8702,2.3483,TIRAGE PAPIER,N&B,10x15 cm,,INCONNU,XIXè,,NON,PRIVÉE,STATUE,PORTE,FAÇADE,MOULURE,FENÊTRE,,,B427,2019/10/20
715,"COLBERT, GALERIE",,GALERIE_COLBERT,2,PARIS,48.86689,2.33943,TIRAGE PAPIER,COULEUR,10x15 cm,2000/09/05,INCONNU,XIXè,,OUI,VOIRIES_ESPACES_LIBRES,STATUE,ART,GALERIE,COLONNE,VERRE,BRONZE,2000-02000-0000004,B427,2019/10/20
716,"JUSSIENNE, RUE DE LA",2bis,IMMEUBLE,2,PARIS,48.86524,2.34424,TIRAGE PAPIER,COULEUR,15x10 cm,1996/06/09,"BOUTILLON, A.",XVIIIè,,NON,COMMÉMORATIVE_VOTIVE_FUNÉRAIRE,PORTE,FERRONNERIE,FAÇADE,FRONTON,MOULURE,FENÊTRE,1996-02000-0000003,B427,2019/10/20
717,"ABBAYE, RUE DE L'",2,IMMEUBLE,6,PARIS,48.85401,2.33586,TIRAGE PAPIER,N&B,15x10 cm,2002/12,"BURET, COLETTE",XVIIè,,NON,PRIVÉE,FAÇADE,COMMERCES,,,,,,B427,2019/10/20
718,"GRAND CERF, PASSAGE DU",10,PASSAGE,2,PARIS,48.86478,2.34958,TIRAGE PAPIER,COULEUR,15x10 cm,1995/06,"BOUTET, MARGUERITE",1825,,OUI,VOIRIES_ESPACES_LIBRES,FER,VERRE,COMMERCES,,,,,B427,2019/10/20
719,"JOUR, RUE DU",2,EGLISE_SAINT_EUSTACHE,1,PARIS,48.86347,2.34447,TIRAGE PAPIER,COULEUR,15x10 cm,1995/06,"BOUTET, MARGUERITE",XVIè,,OUI,COMMÉMORATIVE_VOTIVE_FUNÉRAIRE,ARCHITECTURE,VITRAUX,EGLISE,TOIT,,,,B427,2019/10/20
720,"DAUNOU, RUE",3,IMMEUBLE,2,PARIS,48.86919,2.33224,TIRAGE PAPIER,COULEUR,15x10 cm,1997/03/10,"BOUTILLON, J.-CH.",XIXè,,NON,PRIVÉE,FAÇADE,FERRONNERIE,FENÊTRE,,,,,B427,2019/10/20
721,"FAUBOURG MONTMARTRE, RUE DU",66-68,BAINS_DE_CHATEAUDUN,9,PARIS,48.87641,2.33987,TIRAGE PAPIER,COULEUR,10x15 cm,1998/06,INCONNU,XIXè,,NON,PRIVÉE,FAÇADE,COMMERCES,PORTE,,,,1998-09000-0000010,B427,2019/10/20
722,"JEÛNEURS, RUE DES",11,IMMEUBLE,2,PARIS,48.86904,2.34634,TIRAGE PAPIER,COULEUR,15x10 cm,1997/02/06,"LEFEVRE, PHILIPPE",XVIIè,,NON,PRIVÉE,PORTE,MASCARONS,MOULURE,,,,,B427,2019/10/20
723,"JEÛNEURS, RUE DES",46,IMMEUBLE,2,PARIS,48.86986,2.34329,TIRAGE PAPIER,COULEUR,15x10 cm,1996/09/26,"BOUTILLON, A.",XVIIè,,NON,PRIVÉE,PORTE,MASCARONS,MOULURE,,,,,B427,2019/10/20
724,"GRAMONT, RUE DE",3-5,IMMEUBLE,2,PARIS,48.86935,2.33668,TIRAGE PAPIER,COULEUR,15x10 cm,1999/10,"BOUTET, MARGUERITE",XXè,,NON,PRIVÉE,FAÇADE,PORTE,,,,,,B427,2019/10/20
725,"GRAMONT, RUE DE",3-5,IMMEUBLE,2,PARIS,48.86935,2.33668,TIRAGE PAPIER,COULEUR,15x10 cm,1999/10,"BOUTET, MARGUERITE",XXè,,NON,PRIVÉE,FAÇADE,,,,,,,B427,2019/10/20
726,"GRAMONT, RUE DE",20,IMMEUBLE,2,PARIS,48.87045,2.33696,TIRAGE PAPIER,COULEUR,15x10 cm,1999/10,"BOUTET, MARGUERITE",XVIIIè,,NON,PRIVÉE,PORTE,DÉCORATION_EXTÉRIEURE,,,,,,B427,2019/10/20
727,"ITALIENS, BOULEVARD DES",17-21,IMMEUBLE,2,PARIS,48.8712,2.33644,TIRAGE PAPIER,COULEUR,15x10 cm,1999/10,"BOUTET, MARGUERITE",XIXè,,OUI,PRIVÉE,FAÇADE,HORLOGE,DÉCORATION_EXTÉRIEURE,FRONTON,SCULPTURE,ARCHITECTURE,1999-02000-0000017,B427,2019/10/20
728,"QUATRE SEPTEMBRE, RUE DU",18,IMMEUBLE,2,PARIS,48.86975,2.33621,TIRAGE PAPIER,COULEUR,15x10 cm,1999/10,"BOUTET, MARGUERITE",XIXè,,OUI,PRIVÉE,FAÇADE,PORTE,BALCON,COLONNE,SCULPTURE,FRONTON,1999-02000-0000016,B427,2019/10/20
729,"ITALIENS, BOULEVARD DES",17,IMMEUBLE,2,PARIS,48.87125,2.33688,TIRAGE PAPIER,COULEUR,15x10 cm,1999/10,"BOUTET, MARGUERITE",XIXè,,OUI,PRIVÉE,FAÇADE,ROTONDE,BALCON,LUCARNE,COUPOLE,,1999-02000-0000015,B427,2019/10/20
730,"PANORAMAS, PASSAGE DES",57,PASSAGE_DES_PANORAMAS,2,PARIS,48.87123,2.34171,TIRAGE PAPIER,COULEUR,10x15 cm,1995/06,"BOUTET, MARGUERITE",XIXè,,OUI,VOIRIES_ESPACES_LIBRES,RESTAURANT,FAÇADE,DÉCORATION_EXTÉRIEURE,CHAPITEAU,,,,B427,2019/10/20
731,"PANORAMAS, PASSAGE DES",48,PASSAGE_DES_PANORAMAS,2,PARIS,48.87092,2.34165,TIRAGE PAPIER,COULEUR,15x10 cm,1995/06,"BOUTET, MARGUERITE",XIXè,,OUI,VOIRIES_ESPACES_LIBRES,GALERIE,VERRE,COLONNE,,,,,B427,2019/10/20
732,"PANORAMAS, PASSAGE DES",20,PASSAGE_DES_PANORAMAS,2,PARIS,48.87086,2.34165,TIRAGE PAPIER,COULEUR,15x10 cm,1995/06,"BOUTET, MARGUERITE",XIXè,,OUI,VOIRIES_ESPACES_LIBRES,VERRE,GALERIE,COMMERCES,ENSEIGNE,DÉCORATION_EXTÉRIEURE,,,B427,2019/10/20
733,"SAINT-JOSEPH, RUE",4,HÔTEL_D'HAUTPOUL,2,PARIS,48.86838,2.34516,TIRAGE PAPIER,COULEUR,15x10 cm,1997/02/06,"LEFEVRE, PHILIPPE",XVIIIè,,INCONNU,HÔTEL_PARTICULIER,PORTE,CHIEN_ASSIS,,,,,,B427,2019/10/20
734,"SAINT-JOSEPH, RUE",8,IMMEUBLE,2,PARIS,48.86847,2.34475,TIRAGE PAPIER,COULEUR,15x10 cm,1995/06,"BOUTET, MARGUERITE",XIXè,,NON,PRIVÉE,FAÇADE,AVANT_RESTAURATION,,,,,,B427,2019/10/20
735,"SENTIER, RUE DU",8,IMMEUBLE,2,PARIS,48.86858,2.34569,TIRAGE PAPIER,COULEUR,10x15 cm,1995/06,INCONNU,XVIIIè,,NON,HÔTEL_PARTICULIER,PORTE,,,,,,,B427,2019/10/20
736,"SENTIER, RUE DU",3-5,HÔTEL_LEBRUN,2,PARIS,48.86804,2.34535,TIRAGE PAPIER,COULEUR,10x6 cm,1997/03/28,"BOUTILLON, A.",XVIIIè,,NON,HÔTEL_PARTICULIER,DÉCORATION_INTÉRIEURE,PORTE,FERRONNERIE,,,,,B427,2019/10/20
737,"SENTIER, RUE DU",32,HÔTEL,2,PARIS,48.87015,2.34643,TIRAGE PAPIER,COULEUR,10x15 cm,1997/02/06,"LEFEVRE, PHILIPPE",XVIIIè,,OUI,HÔTEL_PARTICULIER,FAÇADE,FENÊTRE,MOULURE,FERRONNERIE,,,1997-02000-0000026,B427,2019/10/20
738,"LUNE, RUE DE LA",1,IMMEUBLE,2,PARIS,48.86973,2.35173,TIRAGE PAPIER,COULEUR,15x10 cm,1995/05,"BOUTET, MARGUERITE",XVIIè,,INCONNU,PRIVÉE,FAÇADE,VUE_ENSEMBLE,MANSARDE,FERRONNERIE,,,,B427,2019/10/20
739,"PAUL LELONG, RUE",17,IMMEUBLE,2,PARIS,48.8676,2.34204,TIRAGE PAPIER,COULEUR,15x10 cm,1995/06,"BOUTET, MARGUERITE",XVIIIè,,NON,PRIVÉE,FAÇADE,FERRONNERIE,,,,,,B427,2019/10/20
740,"PAUL LELONG, RUE",15-17,IMMEUBLE,2,PARIS,48.86762,2.34213,TIRAGE PAPIER,COULEUR,10x6 cm,1997/04/15,"BOUTET, MARGUERITE",XVIIIè,,NON,PRIVÉE,PORTE,FERRONNERIE,,,,,1997-02000-0000027,B427,2019/10/20
741,"PAUL LELONG, RUE",15,IMMEUBLE,2,PARIS,48.86762,2.34223,TIRAGE PAPIER,COULEUR,15x10 cm,1995/06,"BOUTET, MARGUERITE",XVIIIè,,NON,PRIVÉE,PORTE,FERRONNERIE,FAÇADE,,,,,B427,2019/10/20
742,"OPÉRA, PLACE DE L'",,PALAIS_GARNIER,9,PARIS,48.87142,2.33196,TIRAGE PAPIER,COULEUR,10x15 cm,1994/09,"BOUTET, MARGUERITE",XIXè,,OUI,PRIVÉE,FAÇADE,COLONNE,FRONTON,STATUE,DÉCORATION_EXTÉRIEURE,BALCON,,B427,2019/10/20
743,"TIQUETONNE, RUE",13,IMMEUBLE,2,PARIS,48.86454,2.34891,TIRAGE PAPIER,COULEUR,15x10 cm,1995/06,"BOUTET, MARGUERITE",XVIIIè,,OUI,PRIVÉE,FENÊTRE,BALCON,FERRONNERIE,MASCARONS,MOULURE,DÉCORATION_EXTÉRIEURE,,B427,2019/10/20
744,"TIQUETONNE, RUE",,IMMEUBLE,2,PARIS,48.86467,2.3485,TIRAGE PAPIER,COULEUR,15x10 cm,1995/06,"BOUTET, MARGUERITE",XVIIè,,INCONNU,PRIVÉE,FAÇADE,VUE_ENSEMBLE,,,,,,B427,2019/10/20
745,"TIQUETONNE, RUE",13,IMMEUBLE,2,PARIS,48.86454,2.34891,TIRAGE PAPIER,COULEUR,15x10 cm,1995/06,"BOUTET, MARGUERITE",XVIIIè,,OUI,PRIVÉE,FAÇADE,PORTE,FERRONNERIE,BALCON,MASCARONS,MOULURE,,B427,2019/10/20
746,"TIQUETONNE, RUE",10,IMMEUBLE,2,PARIS,48.86451,2.34938,TIRAGE PAPIER,COULEUR,15x10 cm,1995/06,"BOUTET, MARGUERITE",XVIIè,,OUI,PRIVÉE,ENSEIGNE,COMMERCES,FAÇADE,,,,1995-02000-0003753,B427,2019/10/20
747,"JUSSIENNE, RUE DE LA",2,HÔTEL,2,PARIS,48.86531,2.3443,TIRAGE PAPIER,COULEUR,15x10 cm,2001/03,"DEROUET, LISE",XVIIIè,,NON,HÔTEL_PARTICULIER,FAÇADE,BALCON,FERRONNERIE,MASCARONS,CHIEN_ASSIS,,2001-02000-0000006,B427,2019/10/20
748,"NOTRE-DAME DES VICTOIRES, RUE",14,IMMEUBLE,2,PARIS,48.86708,2.34135,TIRAGE PAPIER,COULEUR,15x10 cm,1996/08,INCONNU,XVIIè,,NON,PRIVÉE,PORTE,MASCARONS,DÉCORATION_EXTÉRIEURE,FENÊTRE,,,1996-02000-0000040,B427,2019/10/20
749,"NOTRE-DAME DES VICTOIRES, RUE",44,IMMEUBLE,2,PARIS,48.86914,2.34225,TIRAGE PAPIER,COULEUR,15x10 cm,1996/08,INCONNU,XIXè,,NON,PRIVÉE,FAÇADE,PORTE,DÉCORATION_EXTÉRIEURE,FERRONNERIE,MASCARONS,SCULPTURE,1996-02000-0000039,B427,2019/10/20
750,"SAINT-AUGUSTIN, RUE",14,IMMEUBLE,2,PARIS,48.86893,2.33657,TIRAGE PAPIER,COULEUR,15x10 cm,1999/10,"BOUTET, MARGUERITE",XXè,,NON,PRIVÉE,FAÇADE,,,,,,,B427,2019/10/20
751,"SAINT-AUGUSTIN, RUE",15,IMMEUBLE,2,PARIS,48.86883,2.33658,TIRAGE PAPIER,COULEUR,15x10 cm,1999/10,"BOUTET, MARGUERITE",,,NON,PRIVÉE,FAÇADE,FERRONNERIE,,,,,,B427,2019/10/20
752,"RAMEAU, RUE",13,IMMEUBLE,2,PARIS,48.86792,2.33654,TIRAGE PAPIER,COULEUR,15x10 cm,1999/10,"BOUTET, MARGUERITE",XIXè,,NON,PRIVÉE,FAÇADE,,,,,,,B427,2019/10/20
753,"RÉAUMUR, RUE",,IMMEUBLE,2,PARIS,48.86624,2.35244,TIRAGE PAPIER,COULEUR,15x10 cm,1995/06,"BOUTET, MARGUERITE",XIXè,,NON,PRIVÉE,FAÇADE,VUE_ENSEMBLE,,,,,,B427,2019/10/20
754,"SAINTE-ANNE, RUE",7,COUR,1,PARIS,48.86584,2.335,TIRAGE PAPIER,COULEUR,15x10 cm,1999/10,"BOUTET, MARGUERITE",,,NON,PRIVÉE,COUR,PORTE,,,,,,B427,2019/10/20
755,"SAINTE-ANNE, RUE",73,IMMEUBLE,2,PARIS,48.86858,2.33651,TIRAGE PAPIER,COULEUR,15x10 cm,1999/10,"BOUTET, MARGUERITE",,,NON,PRIVÉE,FAÇADE,PORTE,FERRONNERIE,,,,,B427,2019/10/20
756,"POISSONNIÈRE, BOULEVARD",27,IMMEUBLE,2,PARIS,48.87123,2.34361,TIRAGE PAPIER,COULEUR,10x15 cm,1996/10,INCONNU,XIXè,,NON,PRIVÉE,FAÇADE,PORTE,FRONTON,PLAQUE,,,1996-02000-0000044,B427,2019/10/20
757,"MAIL, RUE DU",7,IMMEUBLE,2,PARIS,48.86658,2.3418,TIRAGE PAPIER,COULEUR,15x10 cm,1997/02/06,"LEFEVRE, PHILIPPE",XVIIè,,NON,PRIVÉE,FAÇADE,CHAPITEAU,,,,,,B427,2019/10/20
758,"MAIL, RUE DU",5,IMMEUBLE,2,PARIS,48.8665,2.34164,TIRAGE PAPIER,COULEUR,8x13 cm,1996/09/26,"BOUTILLON, A.",XVIIè,,NON,PRIVÉE,FAÇADE,PORTE,MASCARONS,DÉCORATION_EXTÉRIEURE,,,1996-02000-0000074,B427,2019/10/20
759,"MAIL, RUE DU",31,IMMEUBLE,2,PARIS,48.86728,2.34359,TIRAGE PAPIER,COULEUR,15x10 cm,1995/06,"BOUTET, MARGUERITE",XXè,,NON,PRIVÉE,FAÇADE,ART,PEINTURES_MURALES,,,,,B427,2019/10/20
760,"MAIL, RUE DU",13,IMMEUBLE,2,PARIS,48.86674,2.34226,TIRAGE PAPIER,COULEUR,10x15 cm,1997/02/06,"LEFEVRE, PHILIPPE",XVIIIè,,NON,PRIVÉE,FAÇADE,VUE_ENSEMBLE,PORTE,ESCALIER,,,,B427,2019/10/20
761,"POISSONNIÈRE, RUE",18,IMMEUBLE,2,PARIS,48.86935,2.34786,TIRAGE PAPIER,COULEUR,10x15 cm,1996/10,INCONNU,XVIIIè,,NON,PRIVÉE,FAÇADE,FENÊTRE,FERRONNERIE,BALCON,,,,B427,2019/10/20
762,"POISSONNIÈRE, RUE",46,IMMEUBLE,2,PARIS,48.87046,2.34799,TIRAGE PAPIER,COULEUR,15x10 cm,1996/10,INCONNU,XVIIIè,,NON,PRIVÉE,FAÇADE,PORTE,,,,,1996-02000-0000070,B427,2019/10/20
763,"SAINT-DENIS, RUE",142,IMMEUBLE,2,PARIS,48.86519,2.35048,TIRAGE PAPIER,COULEUR,10x15 cm,1993,"GENEST, MICHEL",XVIIIè,,NON,PRIVÉE,FAÇADE,FERRONNERIE,MANSARDE,,,,,B427,2019/10/20
764,"SAINT-DENIS, RUE",226,HÔTEL_DE_SAINT_CHAUMOND,2,PARIS,48.86848,2.35216,TIRAGE PAPIER,COULEUR,10x15 cm,1997/02/06,"LEFEVRE, PHILIPPE",XVIIè,,OUI,HÔTEL_PARTICULIER,FAÇADE,,,,,,,B427,2019/10/20
765,"SAINT-DENIS, BOULEVARD",,PORTE_SAINT_DENIS,10,PARIS,48.8698,2.35255,TIRAGE PAPIER,COULEUR,18x13 cm,2001/04/13,INCONNU,XVIIè,,OUI,COMMÉMORATIVE_VOTIVE_FUNÉRAIRE,PORTE,ARCHITECTURE,,,,,,B427,2019/10/20
766,"LUNE, RUE DE LA",1,IMMEUBLE,2,PARIS,48.86973,2.35173,TIRAGE PAPIER,COULEUR,18x13 cm,2001/04/13,INCONNU,XVIIè,,NON,PRIVÉE,FAÇADE,FERRONNERIE,MASCARONS,MOULURE,,,,B427,2019/10/20
767,"GOLDONI, PLACE",,MUR_DU_VENT,2,PARIS,48.86516,2.34859,TIRAGE PAPIER,COULEUR,15x10 cm,1993/06,"BOUTET, MARGUERITE",XXè,,NON,VOIRIES_ESPACES_LIBRES,FAÇADE,MUR,PEINTURES_MURALES,,,,1993-02000-0000077,B427,2019/10/20
768,"MONTORGUEIL, RUE",,IMMEUBLE,2,PARIS,48.86559,2.34699,TIRAGE PAPIER,COULEUR,15x10 cm,1995/06,"BOUTET, MARGUERITE",XVIIIè,,NON,PRIVÉE,FAÇADE,FERRONNERIE,MASCARONS,,,,,B427,2019/10/20
769,"MONTORGUEIL, RUE",51,IMMEUBLE,2,PARIS,48.86524,2.34683,TIRAGE PAPIER,COULEUR,15x10 cm,1995/06,"BOUTET, MARGUERITE",XIXè,,NON,PRIVÉE,SCULPTURE,FAÇADE,,,,,,B427,2019/10/20
770,"MONTORGUEIL, RUE",78,IMMEUBLE,2,PARIS,48.86559,2.3471,TIRAGE PAPIER,COULEUR,15x10 cm,1995/06,"BOUTET, MARGUERITE",XIXè,,NON,PRIVÉE,RESTAURANT,FAÇADE,MOULURE,,,,1995-02000-000086,B427,2019/10/20
771,"LÉOPOLD BELLAN, RUE",3,IMMEUBLE,2,PARIS,48.86635,2.34674,TIRAGE PAPIER,COULEUR,15x10 cm,1995/06,"BOUTET, MARGUERITE",XXè,,NON,PRIVÉE,FAÇADE,,,,,,,B427,2019/10/20
772,"NOTRE-DAME DE BONNE NOUVELLE, RUE",9,COUR,2,PARIS,48.869908,2.349673,TIRAGE PAPIER,COULEUR,15x10 cm,19956/06,INCONNU,XVIIè,,NON,HÔTEL_PARTICULIER,PORTE,FRONTON,FENÊTRE,,,,,B427,2019/10/20
